config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N4G4,PPK-SVM,accuracy,0.7143,0.0855,0.6806,0.7502,0.5417,0.875,25
N4G4,PPK-SVM,balanced_accuracy,0.7135,0.086,0.68,0.7492,0.5417,0.875,25
N4G4,PPK-SVM,sensitivity,0.7803,0.1222,0.731,0.8272,0.5,1.0,25
N4G4,PPK-SVM,specificity,0.6467,0.1752,0.5733,0.7133,0.25,0.9167,25
N4G4,PPK-SVM,precision,0.707,0.0974,0.67,0.7463,0.5294,0.9091,25
N4G4,PPK-SVM,recall,0.7803,0.1222,0.731,0.8272,0.5,1.0,25
N4G4,PPK-SVM,f1,0.7328,0.0771,0.7049,0.7638,0.5926,0.88,25
N4G4,PPK-SVM,auc_roc,0.7666,0.1142,0.7228,0.8113,0.4514,0.9444,25
N4G4,PPK-SVM,mcc,0.4422,0.1683,0.3769,0.5122,0.0917,0.7526,25
