config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N3G3,KNN,accuracy,0.6642,0.0918,0.6304,0.6996,0.4583,0.8333,25
N3G3,KNN,balanced_accuracy,0.6633,0.0917,0.6296,0.6984,0.4583,0.8333,25
N3G3,KNN,sensitivity,0.7067,0.1451,0.6485,0.761,0.4167,1.0,25
N3G3,KNN,specificity,0.62,0.1547,0.5633,0.6767,0.3333,0.9167,25
N3G3,KNN,precision,0.6629,0.1028,0.6248,0.7013,0.4615,0.9,25
N3G3,KNN,recall,0.7067,0.1451,0.6485,0.761,0.4167,1.0,25
N3G3,KNN,f1,0.6758,0.0975,0.6382,0.7118,0.4762,0.8182,25
N3G3,KNN,auc_roc,0.7314,0.1153,0.6863,0.7737,0.4653,0.9167,25
N3G3,KNN,mcc,0.3388,0.1876,0.2684,0.4108,-0.0836,0.6761,25
N3G3,SVM,accuracy,0.7353,0.0926,0.6977,0.7699,0.5,0.875,25
N3G3,SVM,balanced_accuracy,0.735,0.0927,0.6978,0.7696,0.5,0.875,25
N3G3,SVM,sensitivity,0.7733,0.1134,0.7282,0.8203,0.5833,1.0,25
N3G3,SVM,specificity,0.6967,0.1824,0.6233,0.7667,0.25,1.0,25
N3G3,SVM,precision,0.7396,0.1155,0.6947,0.7849,0.5,1.0,25
N3G3,SVM,recall,0.7733,0.1134,0.7282,0.8203,0.5833,1.0,25
N3G3,SVM,f1,0.7474,0.0803,0.7144,0.7774,0.56,0.8571,25
N3G3,SVM,auc_roc,0.796,0.0838,0.764,0.8279,0.5764,0.9514,25
N3G3,SVM,mcc,0.4828,0.1856,0.4063,0.5518,0.0,0.7746,25
